customer_id,order_id,product_name,product_category,purchase_amount,purchase_date,country,customer_persona
1,1001,iPhone 13 Pro,Electronics,999.99,2024-01-01,United States,Tech Enthusiast
1,1002,MacBook Air,Electronics,1299.99,2024-01-15,United States,Tech Enthusiast
1,1003,AirPods Pro,Electronics,249.99,2024-02-01,United States,Tech Enthusiast
1,1004,iPad Mini,Electronics,499.99,2024-02-15,United States,Tech Enthusiast
1,1005,Apple Watch,Electronics,399.99,2024-03-01,United States,Tech Enthusiast
2,1006,Organic Face Serum,Beauty,89.99,2024-01-02,Canada,Beauty Conscious
2,1007,Vitamin C Cream,Beauty,65.99,2024-01-16,Canada,Beauty Conscious
2,1008,Jade Roller Set,Beauty,45.99,2024-02-02,Canada,Beauty Conscious
2,1009,Korean Sheet Masks,Beauty,29.99,2024-02-16,Canada,Beauty Conscious
2,1010,Natural Shampoo,Beauty,34.99,2024-03-02,Canada,Beauty Conscious
3,1011,Velvet Sofa,Home Decor,899.99,2024-01-03,United Kingdom,Home Designer
3,1012,Moroccan Rug,Home Decor,459.99,2024-01-17,United Kingdom,Home Designer
3,1013,Ceramic Vase Set,Home Decor,129.99,2024-02-03,United Kingdom,Home Designer
3,1014,Wall Art Collection,Home Decor,299.99,2024-02-17,United Kingdom,Home Designer
3,1015,Table Lamp,Home Decor,159.99,2024-03-03,United Kingdom,Home Designer
4,1016,Fiction Paperback,Books,14.99,2024-01-04,Australia,Book Lover
4,1017,Self-Help Book,Books,19.99,2024-01-18,Australia,Book Lover
4,1018,Cookbook,Books,24.99,2024-02-04,Australia,Book Lover
4,1019,Children's Book Set,Books,29.99,2024-02-18,Australia,Book Lover
4,1020,Mystery Novel,Books,12.99,2024-03-04,Australia,Book Lover
5,1021,Designer Handbag,Luxury,1999.99,2024-01-05,Germany,Luxury Shopper
5,1022,Diamond Earrings,Luxury,2499.99,2024-01-19,Germany,Luxury Shopper
5,1023,Luxury Watch,Luxury,3999.99,2024-02-05,Germany,Luxury Shopper
5,1024,Designer Shoes,Luxury,899.99,2024-02-19,Germany,Luxury Shopper
5,1025,Premium Perfume,Luxury,299.99,2024-03-05,Germany,Luxury Shopper
1,1026,Gaming Console,Electronics,499.99,2024-03-10,United States,Tech Enthusiast
1,1027,4K Monitor,Electronics,699.99,2024-03-15,United States,Tech Enthusiast
1,1028,Wireless Keyboard,Electronics,129.99,2024-03-20,United States,Tech Enthusiast
2,1029,Face Moisturizer,Beauty,49.99,2024-03-11,Canada,Beauty Conscious
2,1030,Hair Treatment,Beauty,79.99,2024-03-16,Canada,Beauty Conscious
2,1031,Makeup Palette,Beauty,59.99,2024-03-21,Canada,Beauty Conscious
3,1032,Throw Pillows Set,Home Decor,89.99,2024-03-12,United Kingdom,Home Designer
3,1033,Wall Mirror,Home Decor,199.99,2024-03-17,United Kingdom,Home Designer
3,1034,Plant Stand,Home Decor,79.99,2024-03-22,United Kingdom,Home Designer
4,1035,Biography Book,Books,16.99,2024-03-13,Australia,Book Lover
4,1036,Poetry Collection,Books,15.99,2024-03-18,Australia,Book Lover
4,1037,Science Fiction,Books,13.99,2024-03-23,Australia,Book Lover
5,1038,Designer Sunglasses,Luxury,459.99,2024-03-14,Germany,Luxury Shopper
5,1039,Leather Wallet,Luxury,299.99,2024-03-19,Germany,Luxury Shopper
5,1040,Silk Scarf,Luxury,199.99,2024-03-24,Germany,Luxury Shopper
1,1041,Smart Speaker,Electronics,199.99,2024-02-23,United States,Tech Enthusiast
1,1042,Wireless Earbuds,Electronics,159.99,2024-02-23,United States,Tech Enthusiast
2,1043,Eye Cream,Beauty,39.99,2024-02-23,Canada,Beauty Conscious
2,1044,Face Mask Set,Beauty,29.99,2024-02-23,Canada,Beauty Conscious
3,1045,Decorative Clock,Home Decor,129.99,2024-02-23,United Kingdom,Home Designer
3,1046,Artificial Plant,Home Decor,49.99,2024-02-23,United Kingdom,Home Designer
4,1047,History Book,Books,18.99,2024-02-23,Australia,Book Lover
4,1048,Art Book,Books,22.99,2024-02-23,Australia,Book Lover
5,1049,Designer Belt,Luxury,399.99,2024-02-23,Germany,Luxury Shopper
5,1050,Gold Bracelet,Luxury,799.99,2024-02-23,Germany,Luxury Shopper
